Pasillo,Operación,Perfil de Usuario,Dirección IP,Habilitada,Nombre ,zona,piso,tipo_puerta,material,alto,largo,ancho,peso,descripcion,codigo fisico
Pasillo 1,Entrada,Funcionarios,172.22.40.2,TRUE,GMET-MPF1,,Piso 1,Molinete,Vidrio ,,,,,#REF!,GMET-MPF1
Pasillo 1,Salida,Funcionarios,172.22.40.1,TRUE,GMET-MPF1,,Piso 1,Molinete,Vidrio ,,,,,#REF!,GMET-MPF1
Pasillo 1,Entrada,Visitantes,172.22.40.16,TRUE,GMET-MPV5,,Piso 1,Molinete,Vidrio ,,,,,#REF!,GMET-MPV5
Pasillo 1,Salida,Visitantes,172.22.40.4,TRUE,GMET-MPV5,,Piso 1,Molinete,Vidrio ,,,,,#REF!,GMET-MPV5
Pasillo 2,Entrada,Funcionarios,172.22.40.15,TRUE,GMET-MPF2,,Piso 1,Molinete,Vidrio ,,,,,#REF!,GMET-MPF2
Pasillo 2,Salida,Funcionarios,172.22.40.3,TRUE,GMET-MPF2,,Piso 1,Molinete,Vidrio ,,,,,#REF!,GMET-MPF2
Pasillo 2,Entrada,Visitantes,172.22.40.13,TRUE,GMET-MPV6,,Piso 1,Molinete,Vidrio ,,,,,#REF!,GMET-MPV6
Pasillo 2,Salida,Visitantes,172.22.40.14,TRUE,GMET-MPV6,,Piso 1,Molinete,Vidrio ,,,,,#REF!,GMET-MPV6
Pasillo 3,Entrada,Funcionarios,172.22.40.6,TRUE,GMET-MPF3,,Piso 1,Molinete,Vidrio ,,,,,#REF!,GMET-MPF3
Pasillo 3,Salida,Funcionarios,172.22.40.5,TRUE,GMET-MPF3,,Piso 1,Molinete,Vidrio ,,,,,#REF!,GMET-MPF3
Pasillo 3,Entrada,Visitantes,172.22.40.11,TRUE,GMET-MPV7,,Piso 1,Molinete,Vidrio ,,,,,#REF!,GMET-MPV7
Pasillo 3,Salida,Visitantes,172.22.40.12,TRUE,GMET-MPV7,,Piso 1,Molinete,Vidrio ,,,,,#REF!,GMET-MPV7
